antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'KEGS', 'LIQUOR', 'REF', 'STR_SUPPLIES'})","frozenset({'WINE', 'BEER', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'WINE', 'LIQUOR', 'REF', 'STR_SUPPLIES'})","frozenset({'KEGS', 'BEER', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})","frozenset({'REF', 'BEER', 'NON-ALCOHOL'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'REF', 'BEER', 'NON-ALCOHOL'})","frozenset({'KEGS', 'WINE', 'LIQUOR', 'STR_SUPPLIES'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'BEER', 'NON-ALCOHOL'})","frozenset({'WINE', 'LIQUOR', 'REF', 'STR_SUPPLIES'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'WINE', 'BEER', 'NON-ALCOHOL'})","frozenset({'KEGS', 'LIQUOR', 'REF', 'STR_SUPPLIES'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'LIQUOR', 'BEER', 'NON-ALCOHOL'})","frozenset({'KEGS', 'WINE', 'REF', 'STR_SUPPLIES'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'STR_SUPPLIES', 'BEER', 'NON-ALCOHOL'})","frozenset({'KEGS', 'WINE', 'LIQUOR', 'REF'})",1.0,0.75,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.875
"frozenset({'KEGS', 'REF', 'BEER'})","frozenset({'WINE', 'LIQUOR', 'STR_SUPPLIES', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'WINE', 'REF', 'BEER'})","frozenset({'KEGS', 'LIQUOR', 'STR_SUPPLIES', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
"frozenset({'LIQUOR', 'REF', 'BEER'})","frozenset({'KEGS', 'WINE', 'STR_SUPPLIES', 'NON-ALCOHOL'})",0.75,1.0,0.75,1.0,1.0,1.0,0.0,inf,0.0,0.75,0.0,0.875
